City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Time
165,ingeniero jacobacci,-41.3427,-69.5448,11.0,71,79,9.16,AR,2023-06-05,18:30:30
166,khorugh,37.4897,71.553,9.92,82,23,0.24,TJ,2023-06-05,18:30:30
167,new norfolk,-42.7826,147.0587,13.29,81,94,1.13,AU,2023-06-05,18:30:30
168,kourou,5.1552,-52.6478,27.03,90,20,3.1,GF,2023-06-05,18:30:07
169,happy valley-goose bay,53.3168,-60.3315,13.17,54,75,6.17,CA,2023-06-05,18:30:30
170,saipan,15.1355,145.701,29.39,100,40,8.23,MP,2023-06-05,18:30:31
171,sandnessjoen,66.0217,12.6316,4.29,69,100,2.16,NO,2023-06-05,18:30:31
172,ko pha ngan,9.7578,100.0291,26.38,77,100,7.94,TH,2023-06-05,18:30:31
173,haiku-pauwela,20.9219,-156.3051,28.01,51,40,11.32,US,2023-06-05,18:30:31
174,rio preto da eva,-2.6994,-59.6997,24.27,93,73,0.3,BR,2023-06-05,18:30:31
175,nguruka,-5.1092,31.0419,18.06,69,84,0.75,TZ,2023-06-05,18:30:31
176,lerwick,60.1545,-1.1494,10.0,75,99,3.29,GB,2023-06-05,18:30:32
177,topolobampo,25.6,-109.05,30.95,29,20,6.17,MX,2023-06-05,18:30:32
178,bubaque,11.2833,-15.8333,27.52,72,100,7.61,GW,2023-06-05,18:30:32
179,praia,14.9215,-23.5087,23.3,83,0,2.57,CV,2023-06-05,18:30:32
180,acarau,-2.8856,-40.12,26.09,82,14,5.5,BR,2023-06-05,18:30:32
181,darwin,-12.4611,130.8418,25.99,82,20,1.54,AU,2023-06-05,18:30:02
182,prachuap khiri khan,12.2167,99.75,25.25,79,100,2.76,TH,2023-06-05,18:30:33
183,juruti,-2.1522,-56.0922,26.46,76,31,1.84,BR,2023-06-05,18:30:33
184,contamana,-7.3333,-75.0167,23.2,98,69,0.39,PE,2023-06-05,18:30:33
185,holmsund,63.706,20.3641,7.19,56,0,3.13,SE,2023-06-05,18:30:33
186,elbasan,41.1125,20.0822,18.4,83,95,1.45,AL,2023-06-05,18:30:12
187,hillsborough,37.5741,-122.3794,25.46,69,75,7.2,US,2023-06-05,18:30:34
188,tomatlan,19.9333,-105.25,29.05,53,0,4.71,MX,2023-06-05,18:30:34
189,san patricio,28.017,-97.5169,29.54,69,65,4.67,US,2023-06-05,18:30:34
190,lihue,21.9789,-159.3672,26.92,68,0,4.12,US,2023-06-05,18:30:34
191,putina,-15.4667,-69.4333,6.25,72,1,4.49,PE,2023-06-05,18:30:34
192,sveti nikole,41.8696,21.9527,15.47,89,96,1.53,MK,2023-06-05,18:30:34
193,skovorodino,53.9833,123.9167,6.7,89,100,2.76,RU,2023-06-05,18:30:34
194,tilisarao,-32.7329,-65.2911,13.51,77,39,3.51,AR,2023-06-05,18:30:35
